date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:39	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Jun%202016%2013:26:39%20GMT	https://docs.python.org/2	./python_doc/docs.python.org/2.0.delayed	(from )
15:26:40	9128/9128	---M--	200	added ('OK')	text/html	etag:%225760b867-23a8%22	https://docs.python.org/2/	./python_doc/docs.python.org/2/index.html	(from )
15:26:40	4209/4209	---M--	200	added ('OK')	text/css	etag:%225760b867-1071%22	https://docs.python.org/2/_static/classic.css	./python_doc/docs.python.org/2/_static/classic.css	(from https://docs.python.org/2/)
15:26:40	4149/4149	---M--	200	added ('OK')	text/css	etag:%225760b867-1035%22	https://docs.python.org/2/_static/pygments.css	./python_doc/docs.python.org/2/_static/pygments.css	(from https://docs.python.org/2/)
15:26:40	95786/95786	---M--	200	added ('OK')	application/javascript	etag:%2256633496-1762a%22	https://docs.python.org/2/_static/jquery.js	./python_doc/docs.python.org/2/_static/jquery.js	(from https://docs.python.org/2/)
15:26:40	12140/12140	---M--	200	added ('OK')	application/javascript	etag:%2256633496-2f6c%22	https://docs.python.org/2/_static/underscore.js	./python_doc/docs.python.org/2/_static/underscore.js	(from https://docs.python.org/2/)
15:26:41	7377/7377	---M--	200	added ('OK')	application/javascript	etag:%2256633496-1cd1%22	https://docs.python.org/2/_static/doctools.js	./python_doc/docs.python.org/2/_static/doctools.js	(from https://docs.python.org/2/)
15:26:41	6000/6000	---M--	200	added ('OK')	application/javascript	etag:%22542b626e-1770%22	https://docs.python.org/2/_static/sidebar.js	./python_doc/docs.python.org/2/_static/sidebar.js	(from https://docs.python.org/2/)
15:26:41	7922/7922	---M--	200	added ('OK')	text/html	etag:%22575c9a10-1ef2%22	https://docs.python.org/2/about.html	./python_doc/docs.python.org/2/about.html	(from https://docs.python.org/2/)
15:26:41	6347/6347	---M--	200	added ('OK')	text/html	etag:%22575c9a16-18cb%22	https://docs.python.org/2/copyright.html	./python_doc/docs.python.org/2/copyright.html	(from https://docs.python.org/2/)
15:26:41	390957/390957	---M--	200	added ('OK')	text/html	etag:%225760b863-5f72d%22	https://docs.python.org/2/contents.html	./python_doc/docs.python.org/2/contents.html	(from https://docs.python.org/2/)
15:26:42	695/695	---M--	200	added ('OK')	image/png	etag:%22542b626e-2b7%22	https://docs.python.org/2/_static/py.png	./python_doc/docs.python.org/2/_static/py.png	(from https://docs.python.org/2/)
15:26:42	2680/2680	---M--	200	added ('OK')	application/javascript	etag:%2256d747f9-a78%22	https://docs.python.org/2/_static/copybutton.js	./python_doc/docs.python.org/2/_static/copybutton.js	(from https://docs.python.org/2/)
15:26:42	1837/1837	---M--	200	added ('OK')	application/javascript	etag:%2255665614-72d%22	https://docs.python.org/2/_static/version_switch.js	./python_doc/docs.python.org/2/_static/version_switch.js	(from https://docs.python.org/2/)
15:26:42	8094/8094	---M--	200	added ('OK')	text/html	etag:%225760b865-1f9e%22	https://docs.python.org/2/genindex.html	./python_doc/docs.python.org/2/genindex.html	(from https://docs.python.org/2/)
15:26:42	114518/114518	---M--	200	added ('OK')	text/html	etag:%225760b867-1bf56%22	https://docs.python.org/2/py-modindex.html	./python_doc/docs.python.org/2/py-modindex.html	(from https://docs.python.org/2/)
15:26:43	310683/310683	---M--	200	added ('OK')	text/html	etag:%22575c9a47-4bd9b%22	https://docs.python.org/2/whatsnew/2.7.html	./python_doc/docs.python.org/2/whatsnew/2.7.html	(from https://docs.python.org/2/)
